Site,Subasin,Quality,total_Abundance_Ajusted_elemean (+),crwalers_richness_Ajusted_slopemean (variable),%_temporary_attached (+),%_scrapers_Ajusted_tempmean (+),Richness_Diptera (-),Final IBI,class
Agua dulce ,San Rafael ,Reference,0.385409796,0.615321323,0.711254173,0.666343867,0.63481743,0.602629318,GOOD
Canal San Rafael ,San Rafael ,Reference,0.733733309,0.616913157,0.710143151,0.371948876,0.79586161,0.645720021,GOOD
Cascada Compañía ,San Rafael ,Reference,0.672961055,0.795693617,0.494193058,0.492725448,0.63481743,0.618078122,GOOD
El Llano alto,Cuautitlán,Reference,0.370432739,0.74647882,0.922095439,1,0.45660686,0.699122772,GOOD
El Llano bajo,Cuautitlán,Reference,0.505341985,0.566709932,0.954900982,0.69657275,0.45660686,0.636026502,GOOD
Inicio Canal San Rafael ,San Rafael ,Reference,0.78876272,0.933399733,0.663042015,0.857405305,0.63481743,0.775485441,GOOD
La Caldera,La Colmena,Reference,0.442880783,0.900081295,0.718329988,0.822656352,0.79586161,0.735962005,GOOD
La Castañeda ,Amecameca-Canal Nacional,Reference,0.73930717,0.606905399,0.700262949,0.534222485,0.45660686,0.607460972,GOOD
La Castañeda alto,Amecameca-Canal Nacional,Reference,0.888263594,0.782300003,0.587507944,0.546601826,0.79586161,0.720106995,GOOD
Las Castañeda bajo,Amecameca-Canal Nacional,Reference,0.872284922,0.877606742,0.707402375,0.70651621,1,0.83276205,GOOD
Las Palomas ,Ildefonso ,Reference,0.330715039,0.841377701,0.417355054,0.86382526,0.63481743,0.617618097,GOOD
Nac. Presa Iturbide ,Cuautitlán,Reference,0.670191661,0.667748615,1,0.993281399,0.944427206,0.855129776,GOOD
Río Capoxi,Cuautitlán,Reference,0.396028513,0.638996794,0.748969434,0.876806435,0.45660686,0.623481607,GOOD
San Rafael Vereda,San Rafael ,Reference,0.536718326,0.976257932,0.433266914,0.41317863,0.79586161,0.631056682,GOOD
Segundo Dínamo-truchero ,Magdalena ,Reference,0.906054597,0.87127433,0.432734147,0.33940686,0.63481743,0.636857473,GOOD
Truchero Don Álvaro ,Ildefonso ,Reference,0.999641072,1,0.434762395,0.381293032,0.79586161,0.722311622,GOOD
